cust_id,revenue,days_elapsed,transactions,last_visit,email_offer,redeemed
Q7PVUK97,159.2,36,18,2022-04-24,0,0
GY2K1MTA,76.3,33,7,2022-04-27,0,0
L75O14DW,89.6,54,10,2022-04-06,0,0
6E2MZEE4,115.3,26,9,2022-05-04,1,0
US9DB519,112.6,43,14,2022-04-17,0,0
Y4PVEN3Y,132.5,43,14,2022-04-17,0,0
IBHJ7DJ9,70.3,37,10,2022-04-23,0,0
XX9DOZBU,54.5,55,6,2022-04-05,0,0
NYW9DSWY,69.2,27,7,2022-05-03,1,0
NM278Q6A,84.8,56,12,2022-04-04,1,1
0715VIFC,78.3,54,10,2022-04-06,0,0
0SBPXBXF,104.5,56,8,2022-04-04,1,0
FY0T8Z3X,87.1,21,10,2022-05-09,0,0
FIURIWTW,111.9,47,11,2022-04-13,0,0
WT1KTT9W,122.9,26,11,2022-05-04,0,0
9MRM729V,59.3,56,6,2022-04-04,0,0
7ATZLW7N,124.8,38,11,2022-04-22,0,0
RU0H4D67,59.6,19,7,2022-05-11,0,0
JNL713WS,100.6,12,12,2022-05-18,1,0
MAC22IIE,201.9,10,14,2022-05-20,0,0
IYL3FYVW,126.6,44,12,2022-04-16,1,1
LTMDMRK9,57,34,8,2022-04-26,0,0
NT4B0ABA,110.3,57,14,2022-04-03,0,0
2MXHHTHW,88.2,19,10,2022-05-11,0,0
CFEYFTOC,111.7,1,14,2022-05-29,0,0
ITVV46VL,51.6,51,7,2022-04-09,0,0
5ZNU4GTB,73.5,55,11,2022-04-05,1,0
2XNORXAB,138,35,13,2022-04-25,0,0
87NCLNBO,86.2,22,7,2022-05-08,0,0
BAVJ14KB,97.4,15,10,2022-05-15,0,0
7SIHVLAW,124.1,20,13,2022-05-10,1,0
0DB582SB,69.7,39,10,2022-04-21,1,0
86G19UPI,102.2,37,10,2022-04-23,0,0
ZQ539AZS,84.5,54,9,2022-04-06,1,1
DNSK7E2W,66.3,32,8,2022-04-28,0,0
L923VKKY,99.6,49,10,2022-04-11,0,0
7NNAOF6G,118.2,27,14,2022-05-03,0,0
6Y7OZVI1,119.1,45,9,2022-04-15,0,0
6BTKBZW1,70.9,32,9,2022-04-28,0,0
Z2XCJQL6,51.4,47,7,2022-04-13,0,0
8X6JWHOT,163.6,39,12,2022-04-21,0,0
2NTSULCW,77.4,57,8,2022-04-03,1,0
H06V0TVY,143,49,13,2022-04-11,0,0
CP94XMII,82.7,31,11,2022-04-29,0,0
MSU1AMYT,147.7,17,13,2022-05-13,0,0
ZELF78ZD,121.1,9,13,2022-05-21,0,0
20NJD2BV,53.9,54,8,2022-04-06,0,0
IMVOVS84,162.7,3,14,2022-05-27,0,0
HVXPTPLO,48.4,1,9,2022-05-29,1,1
DEQ98J4E,145.8,19,13,2022-05-11,1,0
BHA7DX3H,55.6,33,6,2022-04-27,0,0
OIZVW854,54,8,6,2022-05-22,0,0
UX9556QH,138,33,11,2022-04-27,0,0
2TW8UXF2,140.2,6,16,2022-05-24,0,0
R84Z4ELW,102.7,45,8,2022-04-15,0,0
68SH2DLJ,55.8,52,6,2022-04-08,1,0
170M35H6,151.2,19,13,2022-05-11,0,0
KL0DG4HA,176.5,48,13,2022-04-12,0,0
AKL90ONU,127.4,27,11,2022-05-03,1,0
AJEIGM5U,42.6,47,6,2022-04-13,0,0
8M7FL27T,148.8,44,14,2022-04-16,1,0
D9ST4DY5,85.5,32,9,2022-04-28,0,0
RWDPSUWW,111.1,6,13,2022-05-24,0,0
ACQBI0PS,103.9,21,12,2022-05-09,0,0
4NE1JM47,127,6,15,2022-05-24,0,0
DWOZUUUZ,150.4,34,17,2022-04-26,0,0
5XWR02ZN,113.2,8,12,2022-05-22,0,0
NBBPRNC0,78.4,26,9,2022-05-04,0,0
OGRAS4XJ,78.3,32,9,2022-04-28,1,0
5GCSQ46E,94.4,41,8,2022-04-19,0,0
PRGQ4489,187.4,20,15,2022-05-10,0,0
2Z4RG2HB,108.5,27,11,2022-05-03,1,0
MHIOOPCX,56.3,56,8,2022-04-04,0,0
LLIY2TK1,79.5,33,8,2022-04-27,0,0
N9ZSAVS3,230.3,45,18,2022-04-15,0,0
OSN6QOPG,117,46,10,2022-04-14,0,0
MCVJ9OGM,152,43,14,2022-04-17,0,0
ZSN67AOF,68.2,10,7,2022-05-20,0,0
AM523BP2,193.4,32,19,2022-04-28,1,0
Y7DF3DZD,86.3,58,9,2022-04-02,0,0
0RSZPYZR,84.7,24,9,2022-05-06,0,0
UPVRRFR2,70.3,24,7,2022-05-06,0,0
UELRHX12,83.1,50,10,2022-04-10,0,0
NTSEA06Y,118.2,21,11,2022-05-09,0,0
FGJCEMWI,142.5,56,16,2022-04-04,0,0
U2FGDVLE,97.6,44,13,2022-04-16,0,0
IOD9LOX6,71.1,10,11,2022-05-20,0,0
QK17OMNM,142.7,24,11,2022-05-06,0,0
5QDLBMNH,123.4,42,11,2022-04-18,1,0
MPIASXDE,102.8,12,11,2022-05-18,0,0
WG77RYRK,124.9,49,12,2022-04-11,1,0
LXN3RM3X,81.8,34,7,2022-04-26,0,0
0NC5FKV4,58,19,7,2022-05-11,0,0
PS61EGMT,116.6,15,11,2022-05-15,0,0
V7LPCXTX,89.1,26,9,2022-05-04,0,0
6IGRFYUT,126.6,58,14,2022-04-02,1,0
JRUL4BLW,90.2,18,10,2022-05-12,0,0
6ZJP3GCX,132.7,31,12,2022-04-29,0,0
UZBKF4D8,126.3,56,10,2022-04-04,0,0
2YRCJUD5,98,54,9,2022-04-06,0,0
PV2NC7S7,100.2,50,13,2022-04-10,0,0
IF4HQJKS,104.1,36,11,2022-04-24,0,0
QF58YZYD,168.2,22,15,2022-05-08,0,0
LLIW212G,144.4,4,18,2022-05-26,0,0
V79R3B97,136.1,28,15,2022-05-02,0,0
HZ33K7DV,99.2,12,11,2022-05-18,1,0
AQ8B7N1B,142.3,53,18,2022-04-07,0,0
2L5BN61R,97.4,35,11,2022-04-25,1,0
GGSOZZTU,81.4,37,10,2022-04-23,0,0
VTIEQ7KX,59,25,10,2022-05-05,1,0
P6KKXUX5,137.9,14,12,2022-05-16,0,0
HET4KIV3,72.2,32,7,2022-04-28,0,0
LPEGXVVP,80.4,15,9,2022-05-15,0,0
9KFED55C,89.7,54,9,2022-04-06,0,0
8WY9499W,149.3,39,14,2022-04-21,1,1
J17YSMJ0,63.1,45,8,2022-04-15,0,0
XN9G0E54,104.4,38,9,2022-04-22,0,0
TW6EVQXY,59.2,38,9,2022-04-22,1,0
2DBIMA4Y,136,17,13,2022-05-13,0,0
HR956Q39,134.6,45,16,2022-04-15,0,0
D5VA32DE,131.4,54,12,2022-04-06,0,0
XTOL3WTJ,90.8,32,9,2022-04-28,0,0
SHMTFB20,112.5,4,11,2022-05-26,1,0
D77ZR3PC,160.6,32,16,2022-04-28,0,0
5PTS6V9Z,113.1,57,8,2022-04-03,0,0
2PR6YY3B,90.2,21,10,2022-05-09,0,0
Z59VGR0B,68.6,54,7,2022-04-06,1,0
5BFS2LUQ,35.2,47,5,2022-04-13,1,0
ZJIJB4MB,85.2,11,9,2022-05-19,0,0
8LUYKYQ2,96.6,46,11,2022-04-14,1,0
HMDZRP52,128,50,13,2022-04-10,0,0
Q3FHGJ5B,244.7,54,18,2022-04-06,0,0
CUH8M115,117.2,44,11,2022-04-16,0,0
YRI3ESG2,123,0,9,2022-05-30,0,0
B2OWZZ11,34,17,4,2022-05-13,0,0
0100QN7Z,118.2,24,10,2022-05-06,0,0
BACWX3A2,23.7,14,4,2022-05-16,0,0
KG6565BG,77.3,38,9,2022-04-22,0,0
4CDI4V7B,118.9,17,9,2022-05-13,0,0
F1WNQEUA,146.4,58,14,2022-04-02,0,0
6HCORG9H,78.7,48,8,2022-04-12,0,0
CWF6KPNI,75.8,47,11,2022-04-13,0,0
DJIGODD5,134,18,14,2022-05-12,0,0
VC2VKH27,77.2,28,11,2022-05-02,0,0
G58U71BU,93.9,35,11,2022-04-25,0,0
IPC36HRN,113,28,10,2022-05-02,0,0
T0QAF5X5,139.2,54,11,2022-04-06,0,0
V4ZAMV0H,74.7,49,8,2022-04-11,0,0
1HOCAIOU,72.5,28,8,2022-05-02,0,0
0DFQ6RNG,90,45,10,2022-04-15,0,0
HU5D57EN,128,40,13,2022-04-20,0,0
K3PLCZ8L,97.4,58,8,2022-04-02,0,0
KXKPEQ2Y,149.2,29,17,2022-05-01,1,0
YG9OQDZ0,164.3,52,15,2022-04-08,0,0
CZYA0TBC,186.4,26,18,2022-05-04,0,0
BDRFLZA8,59.3,15,7,2022-05-15,0,0
IP5XB78T,90.6,19,10,2022-05-11,1,0
XQFYAW5O,79.7,5,10,2022-05-25,0,0
7PZOCNZI,121.7,39,11,2022-04-21,1,0
FKVKOH3C,83.4,16,9,2022-05-14,0,0
0RR08V3J,60.3,57,7,2022-04-03,0,0
XO6ZO70T,143.1,47,12,2022-04-13,1,0
X0YWQVUC,97,39,10,2022-04-21,0,0
EQ80JUOA,128.5,55,11,2022-04-05,0,0
YR0IJZKG,68.2,2,8,2022-05-28,0,0
PZHVL2QD,66.1,8,7,2022-05-22,0,0
EIH12ZKM,98.2,26,9,2022-05-04,0,0
UTKOFN5I,67.9,30,6,2022-04-30,0,0
HJ95PCVU,130.6,36,14,2022-04-24,1,0
ER1U3U8N,59.3,27,6,2022-05-03,0,0
SG5RACRI,138.4,49,13,2022-04-11,0,0
3G16K52K,128.8,51,15,2022-04-09,0,0
BM7UFVON,74.8,6,9,2022-05-24,0,0
CB9VHYHW,86.5,16,8,2022-05-14,0,0
C4CE93U1,99.8,52,10,2022-04-08,0,0
R1RX2JAV,110.9,47,13,2022-04-13,0,0
8TWO5B6U,126.8,55,15,2022-04-05,0,0
67VBZH56,45.5,8,7,2022-05-22,1,0
QN0P74DB,56,57,6,2022-04-03,0,0
RQQHQZSB,108.2,38,11,2022-04-22,0,0
XC3FJEKO,77.7,19,7,2022-05-11,1,1
ZF9ZLDED,210,40,20,2022-04-20,0,0
8KLIAY69,66,36,9,2022-04-24,0,0
T9RQO9NJ,149.4,34,14,2022-04-26,0,0
P0ZTRZ2S,102.5,14,11,2022-05-16,0,0
1Q13Y7FB,93,33,12,2022-04-27,0,0
CGUQV76P,77.1,55,10,2022-04-05,0,0
232YUAMM,49.7,8,5,2022-05-22,0,0
O47MI0V3,45.8,55,4,2022-04-05,0,0
C1XH37TN,46.2,34,4,2022-04-26,0,0
O7VAJRUJ,93.9,11,9,2022-05-19,0,0
UN3RQUJH,85.4,10,10,2022-05-20,0,0
S8B218A8,106.3,21,11,2022-05-09,0,0
UQU7HNSV,142,44,11,2022-04-16,0,0
TAQ137L5,185.1,55,18,2022-04-05,0,0
QJNGE50U,135.1,53,11,2022-04-07,0,0
ACL24KRO,57.8,35,9,2022-04-25,1,0
9FFL6VCE,115.6,3,12,2022-05-27,0,0
4ZZFBT3D,154.6,38,14,2022-04-22,0,0
WZWJWA82,82.5,58,10,2022-04-02,1,0
XFVTX768,72.7,42,7,2022-04-18,0,0
7F8DIAYF,140,22,18,2022-05-08,0,0
U5OAJL1B,79.5,18,11,2022-05-12,0,0
1O5DH7Y5,131.9,1,13,2022-05-29,0,0
L4GB4UI1,127.9,53,13,2022-04-07,0,0
D8F8TFNX,113.7,18,11,2022-05-12,0,0
Z49QM6DR,141,46,12,2022-04-14,0,0
JKB0UI4E,141.6,57,13,2022-04-03,0,0
KZX52849,146.9,15,14,2022-05-15,0,0
9V6IS6MY,64.5,11,8,2022-05-19,0,0
5ANGOF4D,61.2,37,8,2022-04-23,0,0
4JAEU2IL,106.8,42,10,2022-04-18,0,0
IP5T7XW3,68.4,45,8,2022-04-15,0,0
C89LZ4QP,48,55,6,2022-04-05,0,0
34ESU15X,155.3,31,15,2022-04-29,0,0
E8O6ETGI,85.3,19,10,2022-05-11,1,0
9S7ODYY3,67,58,8,2022-04-02,0,0
RLPEC628,127.5,45,13,2022-04-15,1,1
IYGX8HC1,144.5,46,15,2022-04-14,0,0
SR221KTI,94,53,10,2022-04-07,0,0
7EC7G059,86.9,17,10,2022-05-13,0,0
Q2GID53W,150.4,41,14,2022-04-19,0,0
YESL8T3U,150.7,56,13,2022-04-04,0,0
4P6NOVFO,43.4,19,7,2022-05-11,0,0
E9P15P89,87.5,24,6,2022-05-06,1,0
BEXG4Z0Y,125,16,13,2022-05-14,0,0
RN1XQFF3,90.3,8,10,2022-05-22,1,1
BA5JOX6A,120.8,49,12,2022-04-11,0,0
L4ZPBBBW,143.4,19,13,2022-05-11,1,0
JWDA8C6F,86.4,57,9,2022-04-03,0,0
6AJC491I,16.6,57,2,2022-04-03,0,0
JPVJLBH7,135.7,57,15,2022-04-03,0,0
8IK3X1NX,115.1,48,10,2022-04-12,1,0
6SFYL4CY,177.6,34,15,2022-04-26,0,0
BDRQ42LI,59.5,38,10,2022-04-22,0,0
MA18RVWH,65.3,24,8,2022-05-06,1,0
QXOTM2MF,91,47,8,2022-04-13,0,0
57XC5NKI,195.3,54,17,2022-04-06,0,0
BOQQ21JI,140.6,29,12,2022-05-01,0,0
1O2W6YPB,95.5,0,9,2022-05-30,1,0
ZH2JZMAX,102.1,57,12,2022-04-03,0,0
3M0OCUNJ,127,30,10,2022-04-30,0,0
ZAOMQJ92,174.3,3,19,2022-05-27,0,0
8P3JXSVN,93,33,10,2022-04-27,1,0
FOOMXJTA,102.8,40,13,2022-04-20,0,0
0J2LBQHZ,113.8,57,9,2022-04-03,0,0
VZFKYR3S,66.8,51,7,2022-04-09,1,0
HODC52J8,97.5,50,12,2022-04-10,0,0
VUCVGY50,84.3,45,8,2022-04-15,0,0
9DS2D7P6,73.5,46,9,2022-04-14,1,0
880P5AU5,107.2,28,9,2022-05-02,0,0
ZLYVD0GJ,160.5,33,14,2022-04-27,0,0
1CJ33ODH,55.9,13,8,2022-05-17,0,0
3YSLLYNT,91.9,56,10,2022-04-04,0,0
PXRPR3XA,155.5,56,14,2022-04-04,1,0
ECN472KA,141.1,2,11,2022-05-28,0,0
C8JMQGWT,103.2,40,10,2022-04-20,1,0
KLDVK3ML,55.4,51,7,2022-04-09,0,0
KDYABL8C,67.8,33,9,2022-04-27,0,0
1KV59AFR,185.4,41,18,2022-04-19,1,0
G6NYMCF7,74.1,7,12,2022-05-23,0,0
ZYYPACCG,119.7,7,13,2022-05-23,0,0
MI8TO9W5,93.3,14,12,2022-05-16,0,0
4AD4751J,51.6,58,7,2022-04-02,0,0
XKMHNNV0,64.3,30,7,2022-04-30,1,0
CF5X2N4D,108.7,27,10,2022-05-03,0,0
VHQ00SBU,99.2,9,11,2022-05-21,0,0
S7K653V3,85.3,44,11,2022-04-16,0,0
2A19SVVJ,123.1,40,16,2022-04-20,1,0
4QHPU633,80.3,54,8,2022-04-06,0,0
XCO0C144,44.6,10,6,2022-05-20,0,0
ALNX338I,128.3,44,11,2022-04-16,0,0
BYR1TA43,117.6,46,10,2022-04-14,0,0
DSD4NS4J,120.1,53,11,2022-04-07,0,0
F3K4GTNH,105.3,15,11,2022-05-15,0,0
GXL090N1,76,15,7,2022-05-15,1,0
PX103UF3,157.1,51,13,2022-04-09,0,0
805FODPE,81.8,48,10,2022-04-12,0,0
WA4OFB2X,112.8,2,12,2022-05-28,1,0
RTLC04PR,70,34,8,2022-04-26,0,0
79QGV2C7,70,50,7,2022-04-10,0,0
8N9HAOAE,85.6,44,8,2022-04-16,0,0
EG9S2JXI,145.9,41,15,2022-04-19,1,1
1OJKS52R,103.4,53,11,2022-04-07,1,1
9I1G5UTI,112.1,47,11,2022-04-13,0,0
AZ58JKUW,120.3,1,15,2022-05-29,0,0
X81TV5SJ,60.5,33,8,2022-04-27,0,0
SW0LT9SP,57.9,24,8,2022-05-06,0,0
VF0B07LP,115.1,42,9,2022-04-18,0,0
GNWROXJ6,115.6,51,14,2022-04-09,0,0
CKMMIA5N,99.9,46,11,2022-04-14,0,0
VLFVNO9A,137.7,39,12,2022-04-21,1,0
WXPOAG2N,186.8,26,18,2022-05-04,0,0
3E2MEURO,77.3,49,10,2022-04-11,0,0
LGZKBFIP,93.1,58,12,2022-04-02,1,0
OMZEU2BY,162,14,15,2022-05-16,0,0
7PXB6A1S,70.4,13,13,2022-05-17,0,0
IPOWYH9A,86.6,6,6,2022-05-24,0,0
U96CE128,132.4,51,12,2022-04-09,0,0
S2M4T3PC,97.9,38,11,2022-04-22,0,0
846UKV6X,98.9,34,9,2022-04-26,0,0
MYS1DOU2,91.7,21,8,2022-05-09,1,0
1H9X1V9G,141.1,30,16,2022-04-30,0,0
2IZNY03F,126.9,20,12,2022-05-10,0,0
1MOQ7V41,85,49,12,2022-04-11,0,0
ZWV0ZKBX,99.7,34,10,2022-04-26,0,0
VX6VQ0IG,131.6,25,13,2022-05-05,1,0
KM613HXF,57.4,2,7,2022-05-28,0,0
YIVBD34V,67.5,13,9,2022-05-17,1,1
K0MPHAGK,130.4,4,14,2022-05-26,1,0
RRK2J15K,139.4,44,10,2022-04-16,0,0
U7SOJP9U,89.6,1,12,2022-05-29,1,1
ANURRS8F,178.1,19,19,2022-05-11,0,0
FVKVP7OO,75.1,44,7,2022-04-16,1,0
0574DFJ0,98,24,10,2022-05-06,0,0
WT0UQXNC,111.3,23,14,2022-05-07,1,0
93H27STB,238.3,10,22,2022-05-20,1,0
O42VIHJP,62.1,42,8,2022-04-18,0,0
CBHJ5F15,97.9,19,9,2022-05-11,1,1
8QR7O4GC,96,46,8,2022-04-14,0,0
L06ZQEUE,160.1,33,14,2022-04-27,0,0
6STW2TX9,50.2,33,7,2022-04-27,0,0
72NCHEVM,75.6,32,10,2022-04-28,0,0
5PMZMYW8,109.8,21,11,2022-05-09,0,0
QE8CYRD3,128.3,9,12,2022-05-21,1,0
MSKZWJSQ,148,12,17,2022-05-18,0,0
DPI0OYSO,88.6,10,12,2022-05-20,0,0
12CS7MD2,80.7,10,7,2022-05-20,1,1
VLOQTCMS,67.4,58,7,2022-04-02,0,0
RGSN9EVK,132.8,50,12,2022-04-10,0,0
ST0GU3QY,127.9,37,11,2022-04-23,0,0
M7RN7FDQ,35.7,57,7,2022-04-03,0,0
4BRDPTTJ,84.8,37,9,2022-04-23,0,0
Q0TDXJZ9,121.3,20,16,2022-05-10,0,0
DGIM2IOV,78.4,41,8,2022-04-19,0,0
AKTBP724,97.1,4,10,2022-05-26,0,0
1W5YNYOR,62,19,8,2022-05-11,0,0
A63ULVAX,86,27,11,2022-05-03,0,0
SGSGCPHG,104.3,8,11,2022-05-22,0,0
S0VUQRTT,146.9,19,16,2022-05-11,1,0
N70Q1405,145.1,48,14,2022-04-12,0,0
FU5UBDDL,108.2,31,10,2022-04-29,0,0
IX6VQHRY,84.8,24,8,2022-05-06,0,0
YYL3WHGT,131.7,17,14,2022-05-13,0,0
APM2ONMW,84.8,13,13,2022-05-17,0,0
R39ED68O,52.3,19,7,2022-05-11,0,0
45GGSE6D,118.1,45,9,2022-04-15,0,0
DCIDYOPK,58.2,40,6,2022-04-20,0,0
OMKBP938,87.7,58,8,2022-04-02,0,0
KP088EMF,162.9,36,18,2022-04-24,0,0
ZN12HAFD,192.8,28,15,2022-05-02,0,0
NZVQPCK2,72.8,42,7,2022-04-18,0,0
G2DJ4999,130.5,45,11,2022-04-15,0,0
WAFX8XN9,122.7,42,11,2022-04-18,0,0
GM6DQQHQ,75,50,7,2022-04-10,0,0
Q6G5LMHF,87.4,34,11,2022-04-26,0,0
KPGQJ7FU,96.3,55,11,2022-04-05,1,0
S1VXR87J,119.9,58,11,2022-04-02,0,0
UFZ4QVNP,89.7,33,11,2022-04-27,0,0
XYZBESQK,63.6,46,11,2022-04-14,0,0
I5MCQFH6,99.6,3,11,2022-05-27,0,0
YT4PAP75,118.8,46,12,2022-04-14,0,0
8YJLVFE8,66.1,9,7,2022-05-21,1,0
Z35T1SS8,90.1,51,9,2022-04-09,0,0
0ZC02B68,65.8,2,7,2022-05-28,0,0
CY3E2Y6J,169.4,34,15,2022-04-26,0,0
R752CBTS,49.6,58,7,2022-04-02,0,0
KUMST8VW,112.9,54,11,2022-04-06,0,0
R0J0MGSP,157.6,47,14,2022-04-13,0,0
PCNQ5PSB,81.2,44,8,2022-04-16,0,0
8C06JYID,136,38,11,2022-04-22,0,0
TG1R20FF,117.9,58,8,2022-04-02,0,0
Y481T9H7,133,15,15,2022-05-15,0,0
AUR5X9Q6,116.9,50,13,2022-04-10,0,0
43D9KFUL,66.3,32,9,2022-04-28,0,0
1IRWUPGB,98.3,16,8,2022-05-14,0,0
DA8TQJZB,88,37,12,2022-04-23,1,0
4ZUB5163,147.9,9,16,2022-05-21,1,0
7TCI3KG9,87.7,2,10,2022-05-28,0,0
1XQVOG9R,65.3,58,7,2022-04-02,0,0
8LLCKAI3,88.3,25,12,2022-05-05,0,0
JEZV07BM,158.8,47,13,2022-04-13,0,0
2RPI0U7Q,113.1,25,12,2022-05-05,1,0
91TZMV0X,108.1,54,11,2022-04-06,0,0
Y4M9PFHU,128.2,4,13,2022-05-26,0,0
5UJ52AQS,127.3,54,12,2022-04-06,0,0
XBN8XDDH,71.7,38,10,2022-04-22,0,0
BO7HBGYY,104.2,18,10,2022-05-12,1,0
L1J8LOQ4,194,30,19,2022-04-30,1,0
92MNLXPY,81.4,52,10,2022-04-08,1,0
6NZGSYSX,79.1,14,7,2022-05-16,0,0
QNXDMV2V,128.8,56,16,2022-04-04,0,0
H5QREIUX,46.5,29,6,2022-05-01,0,0
FCVQ6466,166.3,22,17,2022-05-08,0,0
142S2L82,122.1,11,15,2022-05-19,0,0
OEHEI6MT,139.8,39,14,2022-04-21,1,0
Z1O536A6,68.5,48,10,2022-04-12,1,0
ZT1MGNHQ,139.4,51,16,2022-04-09,0,0
GDQTPKFU,154.3,16,14,2022-05-14,0,0
4CZKKZ70,113.9,53,7,2022-04-07,0,0
O0DYYKU7,51.3,32,8,2022-04-28,0,0
7UERG8DG,107.2,8,10,2022-05-22,0,0
80GC0GRZ,171.8,25,16,2022-05-05,0,0
HB7KDUDD,160.2,56,15,2022-04-04,0,0
99PBVH0W,86.6,20,10,2022-05-10,0,0
84RZ079P,111.9,23,10,2022-05-07,0,0
W4SRXTHV,74.2,43,7,2022-04-17,0,0
QBFR3QRI,152.2,37,15,2022-04-23,0,0
V2VDJ856,56.1,32,9,2022-04-28,0,0
FMHC90CN,60.7,50,6,2022-04-10,0,0
0DNGOF2T,46.1,3,6,2022-05-27,0,0
4R5YVIF1,134.9,49,13,2022-04-11,1,0
DWTGUMBY,195.4,47,21,2022-04-13,0,0
0IODQL3O,51.6,9,7,2022-05-21,1,1
T7RG3PW5,63.2,52,9,2022-04-08,0,0
OFBVGJZY,83.4,39,7,2022-04-21,0,0
IMSEC6XQ,43.8,33,5,2022-04-27,1,0
KU3JWNOZ,111.2,52,12,2022-04-08,0,0
HZHWU8P9,80.3,3,12,2022-05-27,0,0
VUOG7OEH,183.6,10,19,2022-05-20,0,0
B4VRO2WK,103.2,56,11,2022-04-04,0,0
MMVJB2D3,87.8,37,11,2022-04-23,1,0
ES05T9VG,117.5,33,12,2022-04-27,1,0
UPZLQR8P,44.8,44,8,2022-04-16,0,0
5K19K7LG,105.5,54,12,2022-04-06,0,0
DY020QQ1,154,56,16,2022-04-04,0,0
DKCY5BKL,79.5,22,8,2022-05-08,1,0
8GZZJ5CI,76.4,25,7,2022-05-05,0,0
3AG31KHB,81.2,54,7,2022-04-06,1,0
YS3RHDZT,84.4,51,10,2022-04-09,0,0
CFHEIQN5,56.9,17,7,2022-05-13,1,0
A70UT6UQ,108.4,47,9,2022-04-13,0,0
2XOOR0F7,101.8,25,12,2022-05-05,0,0
B27B3Q6I,94.4,40,10,2022-04-20,1,0
HMZAPI2D,99.2,49,9,2022-04-11,0,0
RJ0JX1M9,100.1,9,15,2022-05-21,0,0
BES8YXW8,105.1,6,9,2022-05-24,0,0
0UJ5DN0O,96.6,11,12,2022-05-19,0,0
D7JPKWV2,119,28,8,2022-05-02,0,0
UHB0JHNY,140.4,54,13,2022-04-06,0,0
1Z9XGJNP,100.8,5,11,2022-05-25,0,0
8DL0PGIO,153.9,12,13,2022-05-18,1,0
YFXZNKTT,111.5,49,11,2022-04-11,0,0
KFNKKXQ2,145.8,50,16,2022-04-10,0,0
5GXSJYON,72,8,9,2022-05-22,0,0
KLL24TB5,130.4,4,11,2022-05-26,0,0
RVW8EXIX,75.3,32,7,2022-04-28,0,0
97F2AQPK,108.7,21,13,2022-05-09,0,0
0FF0Y790,80,7,9,2022-05-23,1,1
MREICISI,164.8,37,15,2022-04-23,0,0
Q0IKMUTT,42.7,30,6,2022-04-30,0,0
X79VRN7Y,111.7,28,12,2022-05-02,1,0
2SV4R2L4,147.3,33,15,2022-04-27,0,0
PPIYEQPR,153.2,50,13,2022-04-10,0,0
H7UL7JRD,80.9,39,11,2022-04-21,0,0
S244DT9I,65.3,41,6,2022-04-19,0,0
CFJ05EC6,132.7,55,14,2022-04-05,1,0
RMJCQO8E,126.8,7,14,2022-05-23,0,0
PB0AJV8L,55.8,9,6,2022-05-21,0,0
M1RGXE7A,133.7,49,15,2022-04-11,0,0
4ME9MHQX,62.6,42,8,2022-04-18,0,0
7W5CGFUO,82.2,17,8,2022-05-13,0,0
YVJF1XI8,106.6,21,9,2022-05-09,1,0
ZKHZNGOO,69.1,17,7,2022-05-13,0,0
28LMSZZA,78.7,15,10,2022-05-15,0,0
OKSC4KOI,102.8,37,9,2022-04-23,0,0
B8ZCCE6X,93.6,14,7,2022-05-16,1,1
