id,unlimited,roaster,wifi,locations,recency,origination,food,tx,per_cap,q1,q2_1,q2_2,q2_3,q2_4,q2_5,q3,q4
Z9Z9AZAA,0,0,0,6,6,223,1,175,8.842114285714285,1,4,4,2,3,4,0,8
ZZA9ZZAA,0,1,1,3,6,241,0,112,3.814464285714286,0,3,2,5,3,4,1,6
9090AA9Z,0,0,1,3,8,365,1,83,5.046867469879518,0,4,4,2,2,4,0,8
Z0A0ZZ00,0,0,1,5,8,92,0,46,2.8658695652173916,1,1,3,3,2,4,0,9
A9900Z00,0,0,1,4,9,136,1,48,5.7,0,2,5,3,3,4,1,7
99Z09A0A,0,1,1,2,7,261,0,191,4.848586387434556,1,2,4,4,3,4,1,10
990AA9ZZ,0,0,0,4,8,136,1,112,5.062946428571428,1,4,5,5,4,5,0,9
A09Z0Z00,0,1,0,9,5,150,1,100,9.565199999999999,1,1,3,2,1,4,0,6
ZA0AAA00,0,1,1,4,6,172,0,165,6.6780606060606065,1,4,2,2,1,4,0,9
AA900ZAZ,0,0,0,4,10,351,0,243,6.031851851851852,0,1,2,2,2,5,1,8
ZA000Z09,1,0,1,4,8,138,1,15,8.302,1,4,2,2,3,3,1,9
AAZZAZZA,0,0,1,6,9,114,1,114,4.4314912280701755,0,3,2,4,5,5,0,6
00AZZA09,0,0,1,5,8,126,1,29,4.4093103448275865,1,1,2,4,2,2,1,10
99ZZA0AA,0,0,1,5,5,81,1,65,5.971230769230769,1,2,4,3,1,3,0,7
9A0AZ0ZA,0,0,1,7,9,360,0,43,1.0251162790697674,1,2,3,3,2,3,1,9
ZZ9AA99Z,0,1,0,5,9,204,0,174,6.53655172413793,1,5,5,3,4,3,1,7
9AZ9ZAZA,1,1,1,7,7,55,0,24,9.341666666666667,1,4,4,3,2,3,0,8
9A09ZA9A,1,0,1,3,8,151,1,33,8.81030303030303,1,2,4,3,5,2,1,9
9AZZZ999,0,0,1,5,8,229,1,122,5.912295081967213,1,4,3,3,3,4,0,9
0ZAZA0ZZ,0,0,1,5,6,250,0,105,0.025047619047619048,1,3,4,3,3,3,0,6
0Z0Z0Z0A,0,0,1,3,7,328,0,270,3.672740740740741,0,4,4,3,5,3,0,9
ZA0Z00ZA,0,0,1,1,7,313,1,228,7.296535087719298,1,2,2,3,4,5,0,7
990A0ZAZ,0,0,0,4,4,105,1,79,7.8334177215189875,1,3,3,5,3,3,1,8
0099A9Z0,0,0,1,9,10,69,1,44,5.5443181818181815,1,3,3,3,3,5,0,7
0AZ00000,1,0,0,6,5,298,0,195,7.347487179487179,1,2,3,3,5,4,1,9
Z9A99Z0A,0,0,1,8,8,145,0,136,4.069779411764706,1,2,3,2,2,4,1,8
A00ZZA0A,0,0,0,5,6,306,0,112,4.497678571428572,1,1,4,4,4,4,0,10
0Z0AAZZA,0,0,0,5,7,222,0,84,6.214047619047619,1,4,3,4,5,4,0,7
AZA0ZA9A,0,0,0,4,6,314,1,212,7.814858490566038,1,4,5,5,1,5,0,8
AA0ZAZ90,0,0,1,8,10,45,0,40,2.191,1,2,4,4,3,3,1,7
A99AAZZ9,1,0,1,7,6,286,1,245,10.724081632653062,1,2,3,3,3,2,1,8
AZ99AZA0,0,0,1,12,10,293,0,240,2.113541666666667,1,1,4,3,2,4,1,10
Z0ZAZA0Z,0,0,1,8,10,259,0,239,5.447405857740586,1,2,5,3,2,4,1,8
0Z9A9AZA,0,1,1,2,10,335,0,79,4.860379746835443,1,3,3,3,4,4,0,10
9AA099A0,1,0,1,7,6,121,1,100,10.0385,1,2,3,3,2,4,0,8
A00Z00Z9,0,0,1,5,7,233,1,163,7.418282208588957,1,4,4,3,3,5,0,9
900AA900,0,1,1,1,6,290,0,81,5.431851851851852,1,1,3,3,5,3,1,9
A0099ZA0,0,0,1,5,5,245,1,22,5.464090909090909,1,1,5,3,3,3,0,7
09Z0AAZ9,0,1,0,2,7,58,1,34,13.306176470588236,1,1,3,3,4,4,0,4
9A99Z9A9,0,0,1,3,6,329,0,270,5.844407407407408,1,3,2,3,2,4,1,10
AAZ0ZA09,0,1,0,2,7,103,0,56,5.291785714285714,1,2,2,3,1,4,1,7
A9A9ZAZZ,0,0,1,3,6,360,0,304,2.3796381578947368,1,4,2,5,3,4,0,9
99Z00AA9,0,1,0,5,8,77,1,16,13.109375,1,1,4,4,4,3,1,7
990ZA0Z0,1,0,0,8,8,167,0,142,6.198380281690141,0,4,3,4,2,4,0,8
AZZ99AZZ,1,1,1,4,7,169,0,85,9.298470588235293,0,2,4,3,4,5,0,9
0AA9000A,1,1,1,7,7,224,0,23,9.651304347826086,1,2,2,4,2,3,1,9
AZ00999Z,0,0,1,4,7,234,0,169,3.017396449704142,1,3,5,4,4,5,0,8
90Z9A990,0,0,1,4,8,233,0,28,3.0524999999999998,1,5,3,2,3,4,0,10
ZZ9Z9AZ9,0,0,1,2,5,200,0,101,4.747425742574258,0,5,4,3,4,5,0,8
0AZ0AA0Z,0,0,1,1,7,280,0,228,2.229254385964912,0,4,1,5,3,5,0,9
Z0AA9A90,0,0,0,2,7,201,0,154,4.771038961038961,1,1,4,1,2,1,0,10
ZZ00ZAZ0,1,1,1,7,9,85,1,54,9.467037037037038,1,3,5,2,4,4,0,8
0Z090AZ9,1,0,1,3,4,176,0,147,4.822721088435374,1,2,4,5,4,4,0,10
A0ZZ099A,0,0,1,4,7,271,1,175,6.824971428571428,1,2,3,2,2,3,0,7
09ZA09A0,1,0,1,7,7,208,1,138,7.638695652173913,1,3,5,2,2,4,1,8
AAZ90Z9Z,0,1,1,5,8,187,0,132,4.883484848484849,1,2,4,4,3,3,0,7
A9ZZZA09,0,1,1,4,7,131,0,66,4.873030303030303,1,1,5,3,4,5,1,8
ZZZ0Z0ZA,0,0,0,4,8,97,0,94,4.43936170212766,1,1,3,4,4,4,1,9
9990ZA9A,0,1,1,6,8,283,0,183,5.298688524590164,1,4,5,3,3,5,1,8
0Z9Z99ZZ,1,0,1,2,6,345,0,341,3.5061583577712607,1,2,4,2,4,5,1,9
ZA09AA9A,0,0,0,3,8,156,0,99,3.7614141414141415,1,3,2,5,4,4,0,9
0Z0ZAA0A,0,1,1,6,5,141,1,69,9.86623188405797,1,3,3,4,4,3,1,7
AAZZ0A9A,0,1,1,5,7,306,0,108,7.059351851851852,1,3,3,4,3,4,0,8
999009ZZ,0,0,1,5,9,160,1,140,5.849785714285715,1,3,3,2,4,3,0,5
AAA00AZ0,1,1,1,6,7,167,0,153,8.258366013071896,1,3,2,4,3,5,1,8
Z9ZZ9AAA,1,1,1,5,8,113,1,84,10.470833333333333,1,4,3,3,3,2,0,8
A9AZ0ZAZ,0,0,1,5,6,179,0,119,4.1527731092436975,1,3,3,2,2,5,0,5
A9ZZA900,1,0,1,5,10,141,0,13,6.745384615384615,1,2,4,3,3,3,1,8
099A9099,0,1,0,5,6,363,1,357,11.88624649859944,1,3,1,4,2,3,0,9
ZZ99ZAZ9,1,1,1,7,9,110,0,29,7.088620689655172,1,3,3,5,4,5,0,9
0ZZ009AA,0,0,1,4,6,234,0,78,3.242051282051282,1,4,4,3,3,4,1,8
Z9ZA9AZ0,0,1,1,3,8,176,1,167,10.59005988023952,1,2,5,4,1,5,0,8
AA9909ZZ,0,0,1,4,8,124,1,102,4.478529411764706,1,3,1,4,2,3,1,10
09ZZ00AZ,0,1,1,3,7,154,1,104,8.019423076923077,1,4,5,2,4,4,0,9
A9AZ0AZZ,0,0,1,5,5,88,1,21,6.171904761904763,1,2,3,3,3,5,0,7
ZZZ00AZA,0,0,0,7,5,347,1,317,9.198675078864353,1,1,3,4,1,4,0,7
90AAZZAZ,0,0,0,6,5,358,0,357,3.063669467787115,1,2,4,2,4,2,0,9
9ZZ9ZA09,0,0,1,3,7,365,1,239,5.407322175732217,1,3,3,4,2,3,1,8
Z9900AA0,0,0,1,3,9,201,0,77,2.4783116883116887,1,3,5,2,3,2,1,4
A99AZ0ZZ,0,0,1,2,6,52,1,41,6.869512195121951,1,4,5,3,3,2,1,10
00A090ZA,0,0,1,3,8,310,1,291,7.927388316151203,1,4,4,3,1,3,0,9
99009099,0,0,0,4,8,86,0,18,3.9438888888888886,1,4,4,4,3,3,1,8
0ZAAZ900,0,1,1,4,7,97,1,17,7.2823529411764705,1,4,3,3,2,4,0,6
AAAAAZ9A,1,0,1,6,9,296,1,243,7.934444444444444,1,3,4,3,2,3,0,8
0900AZ09,0,0,1,8,7,149,1,142,5.6014788732394365,1,4,3,4,3,5,1,8
AZ90Z0Z0,0,0,1,5,7,268,0,133,4.960375939849624,1,3,3,4,1,3,0,10
Z09Z0Z00,1,0,0,2,9,123,1,45,11.844666666666667,1,4,5,5,2,3,0,6
0Z09Z9A0,0,1,1,8,7,357,1,127,8.899606299212598,0,3,4,5,4,4,0,9
ZAZ0Z900,1,0,1,3,8,318,0,294,7.445578231292517,1,3,5,5,2,5,0,8
A90Z9A9Z,0,0,0,7,7,267,0,86,5.231395348837209,1,4,4,4,2,5,0,8
ZA9999AZ,0,0,0,6,5,46,1,28,5.4957142857142856,1,3,3,5,3,4,0,8
AA0A099A,0,0,1,8,7,307,1,272,6.006911764705883,1,4,5,2,3,3,1,8
A0AZ9ZZA,0,1,1,4,10,128,1,9,8.933333333333334,1,3,4,5,4,5,0,9
Z00ZAZZA,0,1,1,2,6,285,0,62,3.2541935483870965,1,4,3,2,2,3,0,9
AAZAAZ09,0,0,1,2,7,344,0,58,0.15155172413793103,1,2,5,4,3,4,0,8
ZAZA9A9Z,0,0,0,4,6,191,0,176,6.163409090909091,1,4,4,3,2,5,0,9
Z009ZA9A,0,0,1,8,7,309,1,191,7.479790575916231,1,4,2,2,4,4,0,10
A90ZZ90A,0,1,1,7,9,199,1,115,7.574086956521739,1,4,3,2,1,4,0,9
A0ZZ0A0Z,0,0,1,9,9,134,1,9,6.044444444444444,1,4,2,3,1,4,0,9
0090ZAZA,0,0,0,4,6,310,0,137,4.1547445255474456,1,2,2,4,3,4,0,10
Z9Z0A999,0,1,1,6,7,197,1,13,9.839230769230769,1,3,3,3,3,5,0,8
0ZZ0A0ZA,0,0,0,8,7,362,1,5,4.558,0,1,5,3,3,4,0,7
0AAAA00A,0,0,1,3,10,179,0,37,1.837837837837838,1,2,5,3,1,3,0,9
0ZZ999A9,0,0,1,4,5,201,1,153,4.86562091503268,1,1,3,5,3,5,1,10
ZAA0AA99,1,0,1,8,6,365,0,269,3.2406691449814127,1,3,4,3,3,4,0,8
AZ9AA0ZA,0,0,1,9,8,185,0,26,3.151923076923077,1,2,1,4,1,4,0,8
Z90Z0ZZ0,0,0,1,5,4,260,1,43,6.913255813953488,1,4,4,2,3,4,0,7
0Z0Z0Z0Z,1,1,1,6,6,266,1,164,11.088597560975609,1,4,2,3,2,4,0,8
9999ZAZ9,0,0,0,6,7,366,0,99,3.9349494949494948,1,3,5,3,2,5,1,9
AAAZZ009,0,1,1,4,10,44,1,33,9.238787878787878,1,4,4,4,5,3,1,8
9A009AA0,0,0,1,5,11,206,1,190,5.47157894736842,0,2,4,4,3,4,0,10
9AAZ9090,1,0,1,4,5,312,1,231,10.766450216450217,1,3,2,4,2,5,1,9
ZZAA9A90,0,0,1,5,8,265,0,72,3.2016666666666667,1,2,2,3,2,3,1,9
999AZZAZ,1,0,1,8,6,90,0,80,6.0385,0,2,5,4,1,4,1,7
Z09Z09Z9,0,0,1,6,6,111,0,19,3.3347368421052632,1,3,2,4,2,4,0,9
AZZZ9A09,0,0,1,3,7,240,1,188,4.511117021276596,1,2,3,5,4,4,1,7
999A9099,0,0,1,5,7,210,0,11,3.9518181818181817,0,3,3,4,1,4,1,8
ZZZZAAA9,0,0,0,6,9,194,1,42,7.919761904761905,1,4,3,5,4,4,0,10
AZZ0Z90A,0,0,1,3,8,198,0,78,1.611923076923077,1,4,2,3,4,4,0,9
099ZZZZZ,0,0,1,10,9,148,0,50,2.2274000000000003,1,3,2,3,3,2,0,8
A0A99090,0,0,0,3,7,287,0,86,1.6782558139534884,1,3,2,4,3,3,0,8
ZZ00AA0Z,0,0,1,3,6,272,1,187,5.0064705882352944,1,3,4,3,2,4,0,9
Z99AZ09A,0,0,1,6,9,328,0,12,2.0708333333333333,1,4,2,3,1,4,1,5
ZAZ09A90,0,0,1,7,5,143,1,121,5.503719008264463,1,2,4,3,3,4,0,9
Z90AAZ09,0,1,1,3,6,287,1,11,10.824545454545454,1,4,5,4,2,3,0,9
AZZ9AAZ0,0,0,1,5,7,130,0,98,3.613979591836735,1,3,3,3,1,3,0,9
AZ9Z9A09,0,0,0,5,7,200,0,158,6.319683544303797,1,4,3,3,2,3,0,8
0AAZ9ZA0,1,0,1,7,7,52,1,42,7.0964285714285715,1,1,3,3,1,3,1,8
Z9Z999Z9,0,0,1,7,7,120,1,20,8.3095,1,1,5,5,3,4,0,9
A90ZA900,1,0,0,6,5,100,1,37,12.298918918918918,1,2,4,3,2,4,0,10
09A09Z0Z,0,0,0,5,8,134,0,128,3.5834375,1,2,3,3,2,3,0,6
99Z90A99,0,0,1,7,8,150,1,46,9.532608695652174,1,2,3,4,1,5,1,10
09909Z9Z,0,0,0,9,7,255,1,92,5.61804347826087,1,3,4,2,3,4,0,8
ZA9AZZAA,1,0,1,6,6,188,1,63,9.901428571428571,1,2,2,2,3,4,0,7
Z0990ZZ9,0,0,0,7,7,291,1,271,8.057564575645756,1,4,4,3,2,2,0,6
9A9Z0Z0A,0,1,1,5,6,173,0,17,5.915882352941176,1,3,3,4,5,4,1,8
AZA9A9ZA,1,0,1,5,7,258,0,200,5.830299999999999,1,4,3,2,2,4,1,8
Z0A9ZAA9,0,1,0,8,8,190,1,151,10.219602649006623,1,4,2,3,2,4,1,8
00Z99990,0,0,1,8,9,48,1,18,7.285555555555555,1,3,4,4,2,4,1,7
09Z009ZA,1,0,0,4,7,42,1,13,10.57,1,4,3,4,1,2,1,8
09Z0Z900,0,0,0,3,6,189,0,151,3.634437086092715,1,3,4,5,2,4,0,7
A9A9ZZ9A,0,1,1,5,7,293,1,188,9.856063829787235,1,3,4,5,5,5,0,7
A0A0Z990,1,0,0,6,6,289,1,231,7.754112554112554,1,3,4,2,1,5,1,7
Z9Z09Z00,0,0,1,6,6,185,0,103,2.150485436893204,1,4,4,4,2,3,1,6
9ZAZAA9Z,0,0,1,3,6,63,1,43,8.99093023255814,1,3,2,4,3,3,0,10
AA9ZZ99Z,0,1,1,4,5,217,1,180,9.133555555555555,1,3,3,3,3,5,1,8
Z09AAA09,1,0,1,5,4,250,1,224,13.185848214285715,1,2,1,5,4,5,0,7
9900A00Z,0,0,1,1,9,367,1,309,7.608025889967638,1,3,2,3,3,3,1,7
0AA0AZA0,0,1,0,4,6,275,0,65,6.928461538461539,1,2,3,4,2,4,0,9
Z9A0ZZZZ,0,0,1,3,6,298,0,129,1.6916279069767441,1,3,4,4,4,4,0,9
9AAZ009Z,0,0,1,10,8,313,0,243,2.8010699588477364,1,3,4,3,1,3,1,7
ZZ0990ZZ,1,1,1,6,4,75,1,58,13.660344827586206,1,1,4,3,2,4,0,9
00ZZ0A9Z,0,1,1,5,6,66,1,53,7.981509433962263,1,3,2,4,2,3,0,10
AAZ9Z0ZZ,1,0,1,2,8,350,1,298,9.978523489932886,1,2,3,2,3,4,1,8
990AAZZA,0,0,1,7,7,101,0,45,4.530888888888889,1,4,3,4,1,4,0,8
A0ZAAAZ9,0,0,1,7,8,61,0,45,1.7384444444444445,1,2,5,4,1,3,0,7
90ZZ0A0A,0,0,1,3,6,83,1,19,6.6957894736842105,1,3,3,3,2,3,0,8
9AA09A00,0,0,1,2,8,192,1,26,4.656153846153846,1,3,5,3,5,3,0,10
9Z0A09ZZ,1,1,1,5,10,362,1,308,8.438896103896104,0,4,3,3,2,4,0,6
A09AAAA0,0,0,1,7,5,198,1,161,3.7785093167701866,0,2,3,3,2,4,0,7
0ZAZAZ9Z,1,0,1,5,7,145,0,57,6.701228070175439,1,4,5,4,1,4,0,10
09AZA9Z0,1,1,0,7,8,86,1,17,10.607058823529412,1,2,3,2,4,5,0,8
AA990Z9A,1,0,1,6,8,320,1,244,7.207909836065574,1,3,4,4,2,5,1,8
AAA9A0Z0,0,1,1,4,6,367,1,12,9.783333333333333,1,3,4,3,3,3,1,8
0990AZ9A,1,1,1,5,7,83,1,35,11.221142857142857,1,4,3,4,1,3,0,8
99Z0AAAA,0,0,1,3,8,94,0,39,4.151794871794872,1,4,5,4,3,3,0,9
00ZZ99Z9,0,0,1,10,7,265,1,219,4.080776255707763,0,3,3,4,3,5,0,9
ZA09AAA9,0,1,0,6,8,260,1,116,10.306896551724137,0,3,4,5,1,2,0,8
AA9A0Z0A,0,0,1,1,7,353,1,179,8.541061452513967,1,1,4,4,2,4,0,7
90900AZA,1,0,1,4,5,243,0,197,2.7095939086294414,1,3,4,3,3,3,1,8
Z90Z0ZZZ,0,0,1,4,4,84,0,25,4.1895999999999995,1,3,2,5,5,3,0,9
Z0A09990,1,1,1,4,4,275,0,138,8.39746376811594,1,2,4,4,1,3,1,8
0AAA099A,0,0,1,5,8,304,0,230,2.6759565217391303,1,1,3,4,3,4,0,6
0ZAZ90ZA,0,0,1,6,8,225,0,133,2.3676691729323305,1,1,5,4,4,5,1,8
Z99A9ZZ9,0,1,1,8,5,74,1,57,9.10280701754386,1,3,3,4,1,3,0,7
ZZZ99A90,1,1,0,7,8,301,0,240,9.838875,1,3,3,4,4,3,1,10
Z0AZAA00,1,0,1,5,8,286,0,166,3.2581927710843375,1,3,5,5,2,5,1,7
A909A9AZ,0,0,1,6,8,268,1,175,6.6888,1,3,3,5,3,4,1,6
Z00AAAZA,0,0,1,7,4,180,0,164,2.9027439024390245,1,4,4,5,5,4,0,7
AAA900ZA,0,0,1,8,6,315,1,226,2.9697345132743362,1,2,5,4,2,5,0,7
A9AZ9Z00,1,1,1,8,10,239,0,176,7.748920454545455,0,3,4,2,4,4,0,9
A0Z090A0,0,0,1,7,8,308,1,163,3.955153374233129,1,3,5,3,3,3,0,8
A090AZZA,1,0,1,6,8,119,0,34,5.64,1,1,4,4,1,4,1,7
0AA9909Z,0,0,1,4,7,161,0,89,5.257078651685394,1,4,1,5,1,3,0,8
099AZAAZ,1,0,1,5,5,330,0,166,6.989337349397591,0,3,5,4,3,4,0,5
A09Z9A0Z,0,0,1,4,9,231,0,39,2.0202564102564105,1,4,3,4,4,5,1,10
0A0AZAZZ,0,0,0,4,6,116,0,82,4.749756097560976,1,2,2,3,1,5,0,8
ZZAZ9A9A,1,1,1,12,5,311,0,113,6.792300884955752,0,2,4,4,3,3,0,9
9ZZ90990,0,0,1,4,7,215,0,89,0.8953932584269663,1,2,3,5,4,2,0,8
ZZZ9A999,1,0,1,8,7,277,0,153,5.148300653594772,1,3,3,4,3,4,0,7
0A09A009,0,1,1,4,8,349,0,30,5.087999999999999,1,1,3,3,2,3,1,9
ZAA9ZZA0,0,0,0,6,8,94,0,86,4.393604651162791,1,4,4,3,3,5,0,9
0009Z9ZZ,0,0,0,5,8,91,0,4,2.025,1,2,2,5,3,2,1,9
099AZ0Z9,1,0,0,9,5,61,1,61,11.647213114754098,1,3,5,4,4,3,1,10
00A0A00A,0,0,1,2,5,292,1,59,7.129152542372881,1,4,2,4,4,3,1,6
09099Z0Z,0,0,1,3,7,174,0,146,3.6307534246575344,1,4,2,4,2,4,0,7
Z0AZ9A09,0,1,1,1,7,205,0,173,4.7074566473988435,1,4,4,4,4,3,0,10
Z0Z099AZ,1,0,0,6,7,266,0,239,7.3896652719665274,1,3,3,4,1,4,0,10
9AAZ009A,0,0,1,3,7,82,1,71,7.081971830985915,1,4,5,4,3,3,0,7
AA9Z90Z0,0,0,1,6,6,183,1,40,4.8222499999999995,1,3,4,2,4,4,0,8
900A9Z90,0,1,0,3,8,263,0,146,7.798493150684931,1,4,4,5,1,4,1,10
ZZZA99Z9,1,0,0,2,7,330,1,149,10.925973154362417,1,2,3,5,4,4,0,7
900900AA,0,1,1,4,7,136,1,30,11.474333333333334,1,5,4,4,1,4,1,6
A090AAZ0,0,0,0,9,7,151,0,60,2.4496666666666664,1,5,5,4,2,5,1,10
ZA099A90,0,1,1,6,5,171,1,5,10.914,1,3,3,3,4,4,0,10
ZA9AAA00,0,0,0,4,8,213,1,51,6.66,1,2,4,5,1,2,0,6
0A0Z0Z9Z,0,0,1,7,9,348,1,265,6.219056603773585,1,3,2,4,3,4,0,9
00090009,0,1,1,2,8,55,1,33,5.787878787878788,1,4,4,4,2,3,1,7
0ZA9Z090,0,0,0,7,8,188,0,185,2.844216216216216,1,3,5,1,3,4,1,8
AAA000ZZ,0,0,1,5,6,172,0,111,3.0753153153153154,1,1,4,3,3,4,0,7
9ZZZ0AZ0,0,0,1,2,7,236,0,183,4.6618579234972675,1,1,3,3,4,3,0,10
A99Z9Z09,0,1,1,10,9,116,1,111,10.670540540540541,1,1,4,4,3,4,0,8
99Z99ZAZ,0,0,1,6,8,154,0,44,3.650681818181818,1,3,3,4,3,3,1,9
ZAZAA90A,0,1,0,7,8,91,1,62,10.709193548387097,1,3,4,4,4,5,0,8
ZA9A9090,1,0,0,8,5,332,0,177,6.8925988700564975,1,3,4,2,2,3,0,9
A00Z090Z,0,0,1,6,9,84,0,48,5.342708333333333,0,5,2,4,1,5,0,7
990AA990,1,0,0,6,7,55,0,23,8.551304347826088,1,3,4,4,5,2,0,9
